Başlık,Marka,Kullanım Amacı,Renk,Cihaz Ağırlığı,İşlemci Tipi,İşlemci,İşlemci Nesli,İşlemci Çekirdek Sayısı,Maksimum İşlemci Hızı,Ram (Sistem Belleği),Ram Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,SSD Kapasitesi,Harddisk Kapasitesi,Ekran Boyutu,Max Ekran Çözünürlüğü,Ekran Özelliği,Ekran Yenileme Hızı,Ekran Panel Tipi,İşletim Sistemi,Çekilme Zamanı,Fiyat (TRY),Link
"Asus Vivobook 15 X1504VA-NJ426W03 I7-1355U 16GB 1tbssd 15.6"" Fhd Windows 11 Home Taşınabilir Bilgisayar-CNT004",Asus,,Koyu Mavi,2 kg ve Altı,Intel Core i7,1355U,13.Nesil,,5 GHz,,DDR4,Intel UHD Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,"15,6 inç",1920 x 1080,,60 Hz,IPS,Windows 11 Home,2025-12-03 01:20:46,40.999 TL,https://www.hepsiburada.com/asus-vivobook-15-x1504va-nj426w03-i7-1355u-16gb-1tbssd-15-6-fhd-windows-11-home-tasinabilir-bilgisayar-cnt004-p-HBCV000078W4YG
"Asus Vivobook 15 X1504VA-NJ426W06 I7-1355U 24GB 1tbssd 15.6"" Fhd Windows 11 Home Taşınabilir Bilgisayar-CNT007",Asus,,"Koyu Mavi, Koyu Mavi",2 kg ve Altı,Intel Core i7,1355U,13.Nesil,,5 GHz,,DDR4,Intel UHD Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,IPS,Windows 11 Home,2025-12-03 01:20:48,44.999 TL,https://www.hepsiburada.com/asus-vivobook-15-x1504va-nj426w06-i7-1355u-24gb-1tbssd-15-6-fhd-windows-11-home-tasinabilir-bilgisayar-cnt007-p-HBCV000078W67W
"Asus Vivobook 15 X1504VA-NJ426W05 I7-1355U 24GB 512SSD 15.6"" Fhd Windows 11 Home Taşınabilir Bilgisayar-CNT006",Asus,,"Koyu Mavi, Koyu Mavi",2 kg ve Altı,Intel Core i7,1355U,13.Nesil,,5 GHz,,DDR4,Intel UHD Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,IPS,Windows 11 Home,2025-12-03 01:20:49,35.999 TL,https://www.hepsiburada.com/asus-vivobook-15-x1504va-nj426w05-i7-1355u-24gb-512ssd-15-6-fhd-windows-11-home-tasinabilir-bilgisayar-cnt006-p-HBCV000078W3FH
"Asus Vivobook 15 X1504VA-NJ426W01 I7-1355U 8gb 1tbssd 15.6"" Fhd Windows 11 Home Taşınabilir Bilgisayar-CNT002",Asus,,"Koyu Mavi, Koyu Mavi",2 kg ve Altı,Intel Core i7,1355U,13.Nesil,,5 GHz,,DDR4,Intel UHD Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,IPS,Windows 11 Home,2025-12-03 01:20:51,37.999 TL,https://www.hepsiburada.com/asus-vivobook-15-x1504va-nj426w01-i7-1355u-8gb-1tbssd-15-6-fhd-windows-11-home-tasinabilir-bilgisayar-cnt002-p-HBCV000078W674
"Acer Aspire 3 A315-59-521E Dizüstü Bilgisayar, Intel I5-1235U Işlemci, 8gb Ddr4 Ram, 512GB M.2 Nvme Ssd, Iris Xe Graphics 15.6"" Full Hd Ekran, Linux, NX.K6TEY.004",Acer,Ofis ve İş,Gümüş,2 - 4 kg,Intel Core i5,Intel Core i5,12.Nesil,,"4,4 GHz",8 GB,DDR4,Intel Iris Xe Graphics,Dahili Ekran Kartı,2 GB,Onboard,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,,IPS,Linux,2025-12-03 01:20:53,24.444 TL,https://www.hepsiburada.com/acer-aspire-3-a315-59-521e-dizustu-bilgisayar-intel-i5-1235u-islemci-8gb-ddr4-ram-512gb-m-2-nvme-ssd-iris-xe-graphics-15-6-full-hd-ekran-linux-nx-k6tey-004-pm-HBC00005URU3B
Asus Rog Strix Scar 16 G635LW-RW140G 16GB RTX5080 Intel Ultra 9 275HX 32GB Ram 2tb Performance SSD 16 Inç Wqxga 240Hz Taşınabilir Bilgisayar,Asus,Oyun ve Eğlence,Siyah,2 - 4 kg,Intel Tabanlı,275HX,Yok,,"2,7 GHz",32 GB,DDR5,Nvidia GeForce RTX 5080,Harici Ekran Kartı,16 GB,GDDR7,2 TB,Yok,16 inç,2560 x 1600,WQXGA,240 Hz,Mini LED,Yok (Free Dos),2025-12-03 01:20:55,"192.473,88 TL",https://www.hepsiburada.com/asus-rog-strix-scar-16-g635lw-rw140g-16gb-rtx5080-intel-ultra-9-275hx-32gb-ram-2tb-performance-ssd-16-inc-wqxga-240hz-tasinabilir-bilgisayar-pm-HBC000081GB37
"Casper Nirvana S100 Intel Core Ultra 7 255H 32GB DDR5 1TB SSD Freedos Taşınabilir Bilgisayar 16"" S100.255H-DF00X-G-F",Casper,,Gri,2 kg ve Altı,Intel Core Ultra 7,255H,Series 2,,"5,1 GHz",,DDR5,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,16 inç,1920 x 1200,Full HD,,IPS,Yok (Free Dos),2025-12-03 01:20:57,40.499 TL,https://www.hepsiburada.com/casper-nirvana-s100-intel-core-ultra-7-255h-32gb-ddr5-1tb-ssd-freedos-15-6-s100-255h-df00x-g-f-pm-HBC00009P69OS
Acer Swift Go SFG14-72-77SK Intel Ultra 7-155H Işlemci Arc Graphics 16GB Ram 512GB SSD Evo 14'' 2.8k OLED W11 Gümüş Notebook,Acer,Ofis ve İş,"Gümüş, Gümüş",Belirtilmemiş,Intel Core Ultra 7,155H,Yok,16,Yok,16 GB,Belirtilmemiş,,Dahili Ekran Kartı,Paylaşımlı,,512 GB,Yok,14 inç,1920 x 1080,OLED,90 Hz,FHD,Windows 11 Home,2025-12-03 01:20:59,45.750 TL,https://www.hepsiburada.com/acer-swift-go-sfg14-72-77sk-intel-ultra-7-155h-islemci-arc-graphics-16gb-ram-512gb-ssd-evo-14-2-8k-oled-w11-gumus-notebook-pm-HBC00007938AI
"Asus Tuf Gamıng F16 FX608JPR-QT069 Intel Core I7-14650HX 32GB Ddr5 1tb SSD 8gb RTX5070 16"" 165HZ Freedos",Asus,Oyun ve Eğlence,"Koyu Gri - Siyah, Koyu Gri",2 - 4 kg,Intel Core i7,14650HX,14.Nesil,16,"5,2 GHz",,DDR5,Nvidia GeForce RTX 5070,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,16 inç,2560 x 1600,WQXGA,165 Hz,WQXGA,Yok (Free Dos),2025-12-03 01:21:02,85.999 TL,https://www.hepsiburada.com/asus-tuf-gaming-f16-fx608jpr-qt069-intel-core-i7-14650hx-32gb-ddr5-1tb-ssd-8gb-rtx5070-16-165hz-freedos-pm-HBC00009UQWL0
"Acer Nitro 5 ANV15-51 NH.QNCEY.001A1 I5-13420H 8gb 1tbssd RTX3050 15.6"" Fhd Freedos Dizüstü BILGISAYAR-CNT002",Acer,,"Siyah, Siyah",2 - 4 kg,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",,DDR5,Nvidia GeForce RTX 3050,Harici Ekran Kartı,6 GB,GDDR6,,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,Yok (Free Dos),2025-12-03 01:21:04,"33.284,05 TL",https://www.hepsiburada.com/acer-nitro-v-15-anv15-51-i5-13420h-16-gb-512-gb-ssd-rtx-3050-6-gb-freedos-15-6-fhd-ips-tasinabilir-bilgisayar-nh-qncey-001-165-pm-HBC00007KALOB
"Dell Inspiron 3520 Intel Core i7 1255U 16GB 512GB SSD Windows 11 Pro 15.6"" FHD Taşınabilir Bilgisayar I35201013U012",Dell,Ofis ve İş,Siyah,1 - 2 kg,Intel Core i7,Intel Core i7,12.Nesil,,"4,7 GHz",16 GB,DDR4,Intel Iris Xe Graphics,Dahili Ekran Kartı,Paylaşımlı,Onboard,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,,WVA,Windows 11 Pro,2025-12-03 01:21:06,31.799 TL,https://www.hepsiburada.com/dell-inspiron-3520-intel-core-i7-1255u-16gb-512gb-windows-11-pro-15-6-fhd-tasinabilir-bilgisayar-i35201013u012-pm-HBC000045LPKA
"HP 250 G10 İntel Core İ7 1355U 32GB 512GB SSD Windows 11 Home 15.6"" Fhd Taşınabilir Bilgisayar 9G2G8ETA71",HP,Ev Kullanıcıları - Öğrenci,Gri,2 kg ve Altı,Intel Core i7,1355U,13.Nesil,,5 GHz,32 GB,DDR4,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,TN,Windows 11 Home,2025-12-03 01:21:08,37.053 TL,https://www.hepsiburada.com/hp-250-g10-intel-core-i7-1355u-32gb-512gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-9g2g8eta71-pm-HBC00008FH618
"Lenovo Ideapad Slim 5 Intel Core i5 13420H 16GB 1TB SSD Freedos 14"" WUXGA OLED Taşınabilir Bilgisayar 83HR0049TR",Lenovo,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR5,Onboard,Dahili Ekran Kartı,Belirtilmemiş,Onboard,1 TB,Yok,14 inç,1920 x 1200,WUXGA,,OLED,Yok (Free Dos),2025-12-03 01:21:10,30.999 TL,https://www.hepsiburada.com/lenovo-ideapad-slim-5-intel-core-i5-13420h-16gb-1tb-ssd-freedos-14-wuxga-tasinabilir-bilgisayar-83hr0049tr-pm-HBC00008KXKQK
"Lenovo Thinkbook 14 21KG00UCTR02 I5-13420H 16GB 1tbssd 14"" Fhd+ Freedos Dizüstü BILGISAYAR-CNT003",Lenovo,,Gri,2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR5,Intel UHD Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,1 TB,Yok,14 inç,1920 x 1200,,60 Hz,IPS,Yok (Free Dos),2025-12-03 01:21:12,30.870 TL,https://www.hepsiburada.com/lenovo-thinkbook-14-21kg00uctr02-i5-13420h-16gb-1tbssd-14-fhd-freedos-dizustu-bilgisayar-cnt003-pm-HBC00007I2UJK
Asus Tuf Gaming A15 FA507NUR-LP006 6gb RTX4050 140W Ryzen 7 7435HS 16gb Ram 512GB SSD 15.6 Inç Fhd 144Hz Taşınabilir Bilgisayar,Asus,,Siyah,2 - 4 kg,AMD Ryzen 7,7435HS,7.Nesil,,"3,1 GHz",8 GB,DDR5,Nvidia GeForce RTX 4050,Harici Ekran Kartı,6 GB,DDR6,512 GB,Yok,"15,6 inç",1920 x 1080,,,IPS,Yok (Free Dos),2025-12-03 01:21:14,"52.366,03 TL",https://www.hepsiburada.com/asus-tuf-gaming-a15-fa507nur-lp006-6gb-rtx4050-140w-ryzen-7-7435hs-8gb-ram-512gb-ssd-15-6-inc-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00006LNL1M
Lenovo Loq Intel Core I7-12650HX 32GB 1tb SSD RTX4050 (65W) Freedos 15.6 Fhd 83LK002VTR321C Taşınabilir Bilgisayar + Çanta,Lenovo,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i7,12650HX,12.Nesil,,"4,7 GHz",32 GB,DDR5,Nvidia GeForce RTX 4050,Yüksek Seviye Harici Ekran Kartı,6 GB,GDDR6,1 TB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,Yok (Free Dos),2025-12-03 01:21:16,55.899 TL,https://www.hepsiburada.com/lenovo-loq-intel-core-i7-12650hx-32gb-1tb-ssd-rtx4050-65w-freedos-15-6-fhd-83lk002vtr321c-tasinabilir-bilgisayar-canta-pm-HBC00008NH3Z9
"HP 250 G10 B2NC1ES003 I5-1334U 16GB 512SSD 15.6"" Fhd W11H Taşınabilir Bilgisayar-CNT004",HP,Ofis ve İş,"Gri, Gri",2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,"4,6 GHz",,DDR4,Intel Iris Xe Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,SVA,Windows 11 Home,2025-12-03 01:21:18,"24.499,02 TL",https://www.hepsiburada.com/hp-250-g10-b2nc1es003-i5-1334u-16gb-512ssd-15-6-fhd-w11h-tasinabilir-bilgisayar-cnt004-p-HBCV00008UXNQ7
"Apple MacBook Air M3 16GB 256GB SSD macOS 15"" Taşınabilir Bilgisayar Gümüş MC9E4TU/A",Apple,,Gümüş,2 kg ve Altı,Apple M3,Apple M3,Apple M3,,Yok,,Belirtilmemiş,Onboard,Dahili Ekran Kartı,Paylaşımlı,Onboard,,Yok,15 inç,2880 x 1864,,,Liquid Retina Ekran,macOS,2025-12-03 01:21:20,55.999 TL,https://www.hepsiburada.com/apple-macbook-air-m3-cip-8gb-512gb-ssd-macos-15-tasinabilir-bilgisayar-gumus-mryq3tu-a-pm-HBC000062OSEN
HP 250 G10 I5-1334U 8gb Ram 512GB SSD 15.6'' Fhd W11H Uma Siyah Notebook B2NC1ES,HP,Ofis ve İş,"Siyah, Siyah",2 kg ve Altı,,1334U,13.Nesil,,Yok,8 GB,Belirtilmemiş,Belirtilmemiş,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,,FHD,Windows 11 Home,2025-12-03 01:21:22,26.599 TL,https://www.hepsiburada.com/hp-250-g10-i5-1334u-8gb-ram-512gb-ssd-15-6-fhd-w11h-uma-siyah-notebook-b2nc1es-p-HBCV000082F5O6
Lenovo LOQ 15IAX9 GTICNT Intel Core I5 12450HX 12GB 1TB SSD RTX4060 Freedos 15.6” FHD 83GS00PHTR + Çanta Hediyeli,Lenovo,Oyun ve Eğlence,"Gri, Gri",2 - 4 kg,Intel Core i5,12450HX,12.Nesil,8,"4,4 GHz",,DDR5,Nvidia GeForce RTX 4060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR6,,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,FreeDos,2025-12-03 01:21:25,44.499 TL,https://www.hepsiburada.com/lenovo-loq-15iax9-gticnt-intel-core-i5-12450hx-12gb-1tb-ssd-rtx4060-freedos-15-6-fhd-83gs00phtr-canta-hediyeli-pm-HBC00009P4ECW
"Asus Zenbook S13 OLED UX5304VA-NQ021W Intel Core I7 1355U 13.nesil 16GB 1tb SSD Windows 11 Home 13.3"" 1cm-1kg Taşınabilir Bilgisayar",Asus,,Gümüş,1 - 2 kg,Intel Core i7,Belirtilmemiş,13.Nesil,,5 GHz,16 GB,DDR5,Intel Iris Xe Graphics,Dahili Ekran Kartı,Paylaşımlı,Onboard,1 TB,Yok,"13,3 inç",2880 x 1800,,,OLED,Windows 11 Home,2025-12-03 01:21:26,"51.943,17 TL",https://www.hepsiburada.com/asus-zenbook-s13-oled-ux5304va-nq021w-intel-core-i7-1355u-13-nesil-16gb-1tb-ssd-windows-11-home-13-3-1cm-1kg-tasinabilir-bilgisayar-pm-HBC000048I7AM
"Lenovo Thinkbook 16P G5 Irx Intel Core I9 14900HX 32GB 1tb SSD RTX4060 Windows 11 Home 16"" Wqsxga 165Hz IPS Taşınabilir Bilgisayar 21N50024TRA8",Lenovo,,Gri,2 - 4 kg,Intel Core i9,Intel Core i9,14.Nesil,,"5,8 GHz",32 GB,DDR5,Nvidia GeForce RTX 4060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR6,1 TB,Yok,16 inç,3200 x 2000,,165 Hz,IPS,Windows 11 Home,2025-12-03 01:21:28,92.243 TL,https://www.hepsiburada.com/lenovo-thinkbook-16p-g5-irx-intel-core-i9-14900hx-32gb-1tb-ssd-rtx4060-windows-11-home-16-wqsxga-165hz-ips-tasinabilir-bilgisayar-21n50024tra8-pm-HBC00007ETM2N
"Casper Nirvana X650 i5-13420H 24GB DDR5 1TB SSD 15.6"" Freedos Laptop X650.1342-CF00X-G-F",Casper,,Gri,2 kg ve Altı,Intel Core i5,13420H,13.Nesil,,"4,6 GHz",,DDR5,Intel Graphics,Dahili Ekran Kartı,Paylaşımlı,Onboard,,Yok,"15,6 inç",1920 x 1080,,,IPS,FreeDos,2025-12-03 01:21:30,26.899 TL,https://www.hepsiburada.com/casper-nirvana-x650-i5-13420h-24gb-ddr5-1tb-ssd-15-6-freedos-laptop-x650-1342-cf00x-g-f-pm-HBC0000AA3GDZ
"Lenovo Thinkbook G6 I5-13420H 16-Gbddr5 1 Tb SSD UHD Graphics 14"" Wuxga Notebook Windows 11 Home 21KG00UCTRHMF42",Lenovo,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,Intel Core i5,13.Nesil,,"4,6 GHz",16 GB,DDR5,Intel UHD Graphics,Dahili Ekran Kartı,Paylaşımlı,Onboard,1 TB,Yok,14 inç,1920 x 1200,WUXGA,60 Hz,IPS,Windows 11 Home,2025-12-03 01:21:32,"31.835,35 TL",https://www.hepsiburada.com/lenovo-thinkbook-g6-i5-13420h-16-gbddr5-1-tb-ssd-uhd-graphics-14-wuxga-notebook-windows-11-home-21kg00uctrhmf42-pm-HBC00007HRNT8
"HP 250 G10 Intel Core I5 1334U 32GB 512GB SSD Windows 11 Pro 15.6"" Taşınabilir Bilgisayar B2NC5ESA75",HP,Ofis ve İş,Siyah,2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,"4,6 GHz",32 GB,DDR4,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,TN,Windows 11 Pro,2025-12-03 01:21:34,"31.039,03 TL",https://www.hepsiburada.com/hp-250-g10-intel-core-i5-1334u-32gb-512gb-ssd-windows-11-pro-15-6-tasinabilir-bilgisayar-b2nc5esa75-pm-HBC00007SUPDN
"Lenovo Thinkbook 16 21KK000WTR06 Ryzen7 7730U 32GB 1tbssd 16"" Fhd+ Freedos Dizüstü Bilgisayar",Lenovo,,"Gri, Gri",2 kg ve Altı,AMD Ryzen 7,AMD Ryzen 7,7.Nesil,,"4,5 GHz",32 GB,DDR4,AMD Radeon Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,1 TB,Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Yok (Free Dos),2025-12-03 01:21:36,"39.605,03 TL",https://www.hepsiburada.com/lenovo-thinkbook-16-21kk000wtr06-ryzen7-7730u-32gb-1tbssd-16-fhd-freedos-dizustu-bilgisayar-pm-HBC00007DVR7J
"Lenovo Thinkbook 14 G4 Iml Intel Core Ultra 7 155U 64GB 4tb SSD Windows 11 Home 14"" Wuxga Dokunmatik Taşınabilir Bilgisayar 21MX002VTRA39",Lenovo,Ofis ve İş,Gri,1 - 2 kg,,155U,Intel Core Ultra Serisi,,"4,8 GHz",64 GB,DDR5,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Onboard,4 TB,Yok,14 inç,1920 x 1200,WUXGA,60 Hz,WUXGA,Windows 11 Home,2025-12-03 01:21:38,85.801 TL,https://www.hepsiburada.com/lenovo-thinkbook-14-g4-iml-intel-core-ultra-7-155u-64gb-4tb-ssd-windows-11-home-14-wuxga-dokunmatik-tasinabilir-bilgisayar-21mx002vtra39-pm-HBC00007738M8
"Lenovo Loq 17IRX10A43 Intel Core I7 14700HX 64GB 2tb SSD RTX5070 Windows 11 Pro 17.3"" Fhd 165Hz 300NIT IPS Taşınabilir Bilgisayar 83JH006HTRA43",Lenovo,Oyun ve Eğlence,Gri,2 - 4 kg,Intel Core i7,14700HX,14.Nesil,20,"5,5 Ghz",,DDR5,Nvidia GeForce RTX 5070,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR7,,Yok,"17,3 inç",1920 x 1080,Full HD,165 Hz,IPS,Windows 11 Pro,2025-12-03 01:21:40,"103.602,89 TL",https://www.hepsiburada.com/lenovo-loq-17irx10a43-intel-core-i7-14700hx-64gb-2tb-ssd-rtx5070-windows-11-pro-17-3-fhd-165hz-300nit-ips-tasinabilir-bilgisayar-83jh006htra43-pm-HBC0000AE6ST2
"Asus Vivobook 15 X1504VA-NJ2404 Intel Core I5 1334U 15.6"" 8GB 512GB M.2 SSD FHD Freedos",Asus,Ofis ve İş,"Mavi, Mavi",2 kg ve Altı,Intel Core i5,1334U,13.Nesil,10,5 GHz,8 GB,DDR4,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,Onboard,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,TN,Yok (Free Dos),2025-12-03 01:21:42,21.674 TL,https://www.hepsiburada.com/asus-vivobook-15-x1504va-nj2404-intel-core-i5-1334u-15-6-8gb-ddr4-ram-512gb-m2-ssd-fhd-freedos-nb-pm-HBC00008DW5DB
"Lenovo Loq 83JC006ATR19 Ryzen7 7435HS 16GB 512SSD RTX4050 15.6"" Fhd W11P Dizüstü BILGISAYAR-CNT020",Lenovo,,"Gri, Gri",2 - 4 kg,AMD Ryzen 7,7435HS,7.Nesil,,"4,5 GHz",16 GB,DDR5,Nvidia GeForce RTX 4050,Harici Ekran Kartı,6 GB,GDDR6,512 GB,Yok,"15,6 inç",1920 x 1080,Full HD,144 Hz,IPS,Windows 11 Pro,2025-12-03 01:21:44,"45.079,99 TL",https://www.hepsiburada.com/lenovo-loq-83jc006atr19-ryzen7-7435hs-16gb-512ssd-rtx4050-15-6-fhd-w11p-dizustu-bilgisayar-cnt020-pm-HBC00007G9IZK
"HP 250 G10 I5-1334U 32 GB 1 Tb SSD Windows 11 Pro Iris Xe Graphics 15.6"" Full Hd 9G1E4ETCB7 Taşınabilir Bilgisayar",HP,Ofis ve İş,"Siyah, Koyu Gri",2 kg ve Altı,Intel Core i5,1334U,13.Nesil,,"4,6 GHz",32 GB,DDR4,Intel Iris Xe Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,1 TB,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,IPS,Windows 11 Pro,2025-12-03 01:21:46,34.200 TL,https://www.hepsiburada.com/hp-250-g10-i5-1334u-32-gb-1-tb-ssd-windows-11-pro-iris-xe-graphics-15-6-full-hd-9g1e4etcb7-tasinabilir-bilgisayar-pm-HBC00008OK5R6
"Lenovo Thinkbook 16 G6 Irl I5-1335U 16 GB 512 GB SSD Windows 11 Pro Iris Xe Graphics 16"" Wuxga Taşınabilir Bilgisayar 21KH001ETRCB1",Lenovo,Ofis ve İş,"Gri, Gri",2 kg ve Altı,Intel Core i5,1335U,13.Nesil,10,"4,6 GHz",,DDR5,Intel Iris Xe Graphics,Dahili Ekran Kartı,Paylaşımlı,Paylaşımlı,,Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Windows 11 Pro,2025-12-03 01:21:48,30.000 TL,https://www.hepsiburada.com/lenovo-thinkbook-16-g6-irl-i5-1335u-16-gb-512-gb-ssd-windows-11-pro-iris-xe-graphics-16-wuxga-tasinabilir-bilgisayar-21kh001etrcb1-pm-HBC000093DVN8
Dell Latitude 3550 I5-1335U 16GB 1tb SSD 15.6 Fhd Windows 11 Pro,Dell,Ofis ve İş,Gri,2 kg ve Altı,Intel Core i5,1335U,13.Nesil,,"4,6 GHz",,DDR5,Intel Iris Xe Graphics,Dahili Ekran Kartı,Paylaşımlı,Onboard,,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,IPS,Windows 11 Pro,2025-12-03 01:21:51,"38.571,84 TL",https://www.hepsiburada.com/dell-latitude-3550-i5-1335u-16gb-1tb-ssd-15-6-fhd-windows-11-pro-pm-HBC0000A5563K
"Lenovo Ideapad Slim 3 16IRH10 I7-13620H 24-Gbddr5 512 GB SSD UHD Graphics 16"" Wuxga Windows 11 Home Notebook 83K2001VTRAT32",Lenovo,Ofis ve İş,Gri,2 - 4 kg,Intel Core i7,13620H,13.Nesil,10,"4,9 GHz",,DDR5,Intel UHD Graphics,Dahili Ekran Kartı,Paylaşımlı,Onboard,,Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Windows 11 Home,2025-12-03 01:21:52,"35.370,37 TL",https://www.hepsiburada.com/lenovo-ideapad-slim-3-16irh10-i7-13620h-24-gbddr5-512-gb-ssd-uhd-graphics-16-wuxga-windows-11-home-notebook-83k2001vtrat32-pm-HBC0000A3RLIC
"Dell Inspiron 3520 İ5-1235U 16 GB 1 Tbssd 15.6"" Windows 11 Home Taşınabilir Bilgisayar I35202011U BT31",Dell,Ofis ve İş,Siyah,2 - 4 kg,Intel Core i5,Intel Core i5,12.Nesil,,"4,4 GHz",16 GB,DDR4,Intel Iris Xe Graphics,Dahili Ekran Kartı,Paylaşımlı,Onboard,1 TB,Yok,"15,6 inç",1920 x 1080,Full HD,120 Hz,WVA,Windows 11 Home,2025-12-03 01:21:54,31.899 TL,https://www.hepsiburada.com/dell-inspiron-3520-i5-1235u-16-gb-1-tbssd-15-6-windows-11-home-tasinabilir-bilgisayar-i35202011u-bt31-pm-HBC00006C45G3
"HP 255 G10 Ryzen 5 7530U 16 GB 1 Tb SSD Windows 11 Pro Taşınabilir Bilgisayar Radeon Graphics 15.6"" Full Hd Taşınabilir Bilgisayar 9G1G0ETCB3",HP,Ofis ve İş,Metalik Gri,,AMD Ryzen 5,7530U,,,"4,5 GHz",,DDR4,AMD Radeon Graphics,Dahili Ekran Kartı,Paylaşımlı,,,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,,Windows 11 Pro,2025-12-03 01:21:57,27.500 TL,https://www.hepsiburada.com/hp-255-g10-ryzen-5-7530u-16-gb-1-tb-ssd-windows-11-pro-tasinabilir-bilgisayar-radeon-graphics-15-6-full-hd-tasinabilir-bilgisayar-9g1g0etcb3-pm-HBC000092U6CX
"HP Victus 16-R1001NTA26 Intel Core I7 14700HX 32GB 2tb SSD RTX4060 Windows 11 Pro 16.1"" Fhd 144Hz IPS Taşınabilir Bilgisayar 9J205EAA26",HP,Oyun ve Eğlence,Mavi,2 - 4 kg,Intel Core i7,14700HX,14.Nesil,,"5,5 Ghz",32 GB,DDR5,Nvidia GeForce RTX 4060,Yüksek Seviye Harici Ekran Kartı,8 GB,GDDR6,2 TB,Yok,"16,1 inç",1920 x 1080,Full HD,144 Hz,IPS,Windows 11 Pro,2025-12-03 01:21:59,78.546 TL,https://www.hepsiburada.com/hp-victus-16-r1001nta26-intel-core-i7-14700hx-32gb-2tb-ssd-rtx4060-windows-11-pro-16-1-fhd-144hz-ips-tasinabilir-bilgisayar-9j205eaa26-pm-HBC00007CKLHC
"Lenovo V15 G4 Ryzen 7 7730U 16 GB 1 Tb SSD Windows 11 Pro 15.6"" Full Hd Notebook Abp 82YY001MTRCB3",Lenovo,Ofis ve İş,Siyah,1 - 2 kg,AMD Ryzen 7,AMD Ryzen 7,Ryzen,,"4,5 GHz",16 GB,DDR4,AMD Radeon Graphics,Dahili Ekran Kartı,Paylaşımlı,Onboard,1 TB,Yok,"15,6 inç",1920 x 1080,Full HD,60 Hz,TN,Windows 11 Pro,2025-12-03 01:22:01,26.590 TL,https://www.hepsiburada.com/lenovo-v15-g4-ryzen-7-7730u-16-gb-1-tb-ssd-windows-11-pro-15-6-full-hd-notebook-abp-82yy001mtrcb3-pm-HBC00006T846J
